Managing a software ecosystem using a multiple software product line: a case study on digital signage systems|http://dx.doi.org/10.1109/SEAA.2014.23
Comparing approaches to implement feature model composition|http://dx.doi.org/10.1007/978-3-642-13595-8_3
Semantic sentiment analysis of twitter|http://dx.doi.org/10.1007/978-3-642-35176-1_32
Automated and scalable t-wise test case generation strategies for software product lines|http://dx.doi.org/10.1109/ICST.2010.43
Model based analysis process for embedded software product lines|http://dx.doi.org/10.1145/1987875.1987886
Managing variability in workflow with feature model composition operators|http://dx.doi.org/10.1007/978-3-642-14046-4_2
A feature model for model-to-text transformation languages|http://dx.doi.org/10.1109/MISE.2012.6226015
An approach to automated conversion from design feature model to analysis feature model|http://dx.doi.org/10.1115/DETC2011-47555
42 variability bugs in the linux kernel: a qualitative analysis|http://dx.doi.org/10.1145/2642937.2642990
Detecting dependences and interactions in feature-oriented design|http://dx.doi.org/10.1109/ISSRE.2010.11
FeatureIDE: taming the preprocessor wilderness|http://dx.doi.org/10.1145/2889160.2889175
Scalable analysis of variable software|http://dx.doi.org/10.1145/2491411.2491437
Optimum feature selection in software product lines: Let your model and values guide your search|http://dx.doi.org/10.1109/CMSBSE.2013.6604432
Efficient extraction and analysis of preprocessor-based variability|http://dx.doi.org/10.1145/1868294.1868300
Efficient extraction and analysis of preprocessor-based variability|http://dx.doi.org/10.1145/1942788.1868300
An aspect-based feature model for architecting component product lines|http://dx.doi.org/10.1109/SEAA.2012.64
Intraprocedural dataflow analysis for software product lines|http://dx.doi.org/10.1145/2162049.2162052
Intraprocedural dataflow analysis for software product lines|http://dx.doi.org/10.1007/978-3-642-36964-3_3
Usage scenarios for feature model synthesis|http://dx.doi.org/10.1145/2425415.2425419
Automated selection and configuration of cloud environments using software product lines principles|http://dx.doi.org/10.1109/CLOUD.2014.29
Validating consistency between a feature model and its implementation|http://dx.doi.org/10.1007/978-3-642-38977-1_1
On the integration of the feature model and PL-AOVGraph|http://dx.doi.org/10.1145/1960502.1960509
Feature-interaction detection based on feature-based specifications|http://dx.doi.org/10.1016/j.comnet.2013.02.025
SPLat: lightweight dynamic analysis for reducing combinatorics in testing configurable systems|http://dx.doi.org/10.1145/2491411.2491459
Incremental model-based testing of delta-oriented software product lines|http://dx.doi.org/10.1007/978-3-642-30473-6_7
Constraints: The core of supporting automated product configuration of cyber-physical systems|http://dx.doi.org/10.1007/978-3-642-41533-3_23
An information visualization feature model for supporting the selection of software visualizations|http://dx.doi.org/10.1145/2597008.2597796
Feature model composition assisted by formal concept analysis|http://dx.doi.org/10.5220/0006276600270037
Symbolic model checking of software product lines|http://dx.doi.org/10.1145/1985793.1985838
Towards multi-view feature-based configuration|http://dx.doi.org/10.1007/978-3-642-14192-8_12
IncLing: efficient product-line testing using incremental pairwise sampling|http://dx.doi.org/10.1145/2993236.2993253
IncLing: efficient product-line testing using incremental pairwise sampling|http://dx.doi.org/10.1145/3093335.2993253
Multi-objective optimal test suite computation for software product line pairwise testing|http://dx.doi.org/10.1109/ICSM.2013.58
Constraints: The core of product line engineering|http://dx.doi.org/10.1109/RCIS.2011.6006825
Probabilistic model checking for energy analysis in software product lines|http://dx.doi.org/10.1145/2577080.2577095
Multi-objective test prioritization in software product line testing: an industrial case study|http://dx.doi.org/10.1145/2648511.2648515
Sharing with a difference: Realizing service-based saas applications with runtime sharing and variation in dynamic software product lines|http://dx.doi.org/10.1109/SCC.2013.30
Towards a language-independent approach for reverse-engineering of software product lines|http://dx.doi.org/10.1145/2554850.2554874
Mutation-based generation of software product line test configurations|http://dx.doi.org/10.1007/978-3-319-09940-8_7
Scaling exact multi-objective combinatorial optimization by parallelization|http://dx.doi.org/10.1145/2642937.2642971
Using mCRL2 for the analysis of software product lines|http://dx.doi.org/10.1145/2593489.2593493
Compositional verification of software product lines|http://dx.doi.org/10.1007/978-3-642-38613-8_8
Language-independent reference checking in software product lines|http://dx.doi.org/10.1145/1868688.1868698
Visualization techniques for application in interactive product configuration|http://dx.doi.org/10.1145/2019136.2019161
Feature modeling tools: evaluation and lessons learned|http://dx.doi.org/10.1007/978-3-642-24574-9_17
A variability-based testing approach for synthesizing video sequences|http://dx.doi.org/10.1145/2610384.2610411
VariaMos: a tool for product line driven systems engineering with a constraint based approach|http://dx.doi.org/10.1145/2791060.2791103
SPLEMMA: a generic framework for controlled-evolution of software product lines|http://dx.doi.org/10.1145/2499777.2500709
Feature model synthesis with genetic programming|http://dx.doi.org/10.1007/978-3-319-09940-8_11
An overview on analysis tools for software product lines|http://dx.doi.org/10.1145/2647908.2655972
A dynamic-priority based approach to fixing inconsistent feature models|http://dx.doi.org/10.1007/978-3-642-16145-2_13
Custom-developed vs. model-based configuration tools: Experiences from an industrial automation ecosystem|http://dx.doi.org/10.1145/2499777.2500713
Run-time adaptation of mobile applications using genetic algorithms|http://dx.doi.org/10.1109/SEAMS.2013.6595494
Statistical analysis of probabilistic models of software product lines with quantitative constraints|http://dx.doi.org/10.1145/2791060.2791087
Context-aware staged configuration of process variants@ runtime|http://dx.doi.org/10.1007/978-3-319-07881-6_17
Change propagation due to uncertainty change|http://dx.doi.org/10.1007/978-3-642-37057-1_3
Towards modular verification of software product lines with mCRL2|http://dx.doi.org/10.1007/978-3-662-45234-9_26
PLEDGE: a product line editor and test generation tool|http://dx.doi.org/10.1145/2499777.2499778
Using CVL to operationalize product line development with reusable aspect models|http://dx.doi.org/10.1145/2425415.2425418
Towards secure integration of cryptographic software|http://dx.doi.org/10.1145/2814228.2814229
Composing your compositions of variability models|http://dx.doi.org/10.1007/978-3-642-41533-3_22
Multi-perspectives on feature models|http://dx.doi.org/10.1007/978-3-642-33666-9_17
EvoFM: Feature-driven planning of product-line evolution|http://dx.doi.org/10.1145/1808937.1808941
A parallel evolutionary algorithm for prioritized pairwise testing of software product lines|http://dx.doi.org/10.1145/2576768.2598305
Understanding feature evolution in a family of product variants|http://dx.doi.org/10.1109/WCRE.2010.20
A feature model for model-to-text transformation languages|http://dx.doi.org/10.1109/MISE.2012.6226015
The promise and challenge of runtime variability|http://dx.doi.org/10.1109/MC.2011.382
Feature assembly: A new feature modeling technique|http://dx.doi.org/10.1007/978-3-642-16373-9_17
Automated test case selection using feature model: An industrial case study|http://dx.doi.org/10.1007/978-3-642-41533-3_15
Mining features from the object-oriented source code of software variants by combining lexical and structural similarity|http://dx.doi.org/10.1109/IRI.2013.6642522
Managing ERP configuration variants: An experience report|http://dx.doi.org/10.1145/1964138.1964140
Linking feature models to code artifacts using executable acceptance tests|http://dx.doi.org/10.1007/978-3-642-15579-6_15
Model-based test design of product lines: Raising test design to the product line level|http://dx.doi.org/10.1109/ICST.2014.16
Software variability management: An exploratory study with two feature modeling tools|http://dx.doi.org/10.1109/SBCARS.2013.13
Product model derivation by model transformation in software product lines|http://dx.doi.org/10.1109/ISORCW.2011.18
Mining binary constraints in the construction of feature models|http://dx.doi.org/10.1109/RE.2012.6345798
Towards more reliable configurators: A re-engineering perspective|http://dx.doi.org/10.1109/PLEASE.2012.6229766
Test-case design by feature trees|http://dx.doi.org/10.1007/978-3-642-34026-0_34
Generating feature model from creative requirements using model driven design|http://dx.doi.org/10.1145/2364412.2364416
Modeling rationale over time to support product line evolution planning|http://dx.doi.org/10.1145/2110147.2110169
Reasoning about conditional constraint specification problems and feature models|http://dx.doi.org/10.1017/S0890060410000600
Feature assembly framework: Towards scalable and reusable feature models|http://dx.doi.org/10.1145/1944892.1944893
Comprehending feature models expressed in CVL|http://dx.doi.org/10.1007/978-3-319-11653-2_31
Using fault propagation analyses for early elimination of unreliable design alternatives of complex cyber-physical systems|http://dx.doi.org/10.1115/DETC2012-70241
Modeling and analysis of product-line variants|http://dx.doi.org/10.1145/2364412.2364417
An empirical study of two software product line tools|http://dx.doi.org/10.5220/0005829801640171
A Mutation and Multi-objective Test Data Generation Approach for Feature Testing of Software Product Lines|http://dx.doi.org/10.1109/SBES.2015.17
Applying the product lines paradigm to the quantitative analysis of collective adaptive systems|http://dx.doi.org/10.1145/2791060.2791100
A feature-similarity model for product line engineering|http://dx.doi.org/10.1007/978-3-319-14130-5_3
Using feature model to build model transformation chains|http://dx.doi.org/10.1007/978-3-642-33666-9_36
Software feature model recommendations using data mining|http://dx.doi.org/10.1109/RSSE.2012.6233409
Aspect-oriented change realization based on multi-paradigm design with feature modeling|http://dx.doi.org/10.1007/978-3-642-28038-2_4
Domain service acquisition and domain modeling based on feature model|http://dx.doi.org/10.1109/CSE.2011.20
A comparison of decision modeling approaches in product lines|http://dx.doi.org/10.1145/1944892.1944907
Software product line engineering and variability management: achievements and challenges|http://dx.doi.org/10.1145/2593882.2593888
Software product line engineering and variability management: achievements and challenges|http://dx.doi.org/10.1109/ICSECOMPANION.2007.83
Feature identification from the source code of product variants|http://dx.doi.org/10.1109/CSMR.2012.52
Service-oriented dynamic software product lines|http://dx.doi.org/10.1109/MC.2012.289
Pacogen: Automatic generation of pairwise test configurations from feature models|http://dx.doi.org/10.1109/ISSRE.2011.31
Minimizing test suites in software product lines using weight-based genetic algorithms|http://dx.doi.org/10.1145/2463372.2463545
Towards modeling a variable architecture for multi-tenant SaaS-applications|http://dx.doi.org/10.1145/2110147.2110160
Assessing software product line testing via model-based mutation: An application to similarity testing|http://dx.doi.org/10.1109/ICSTW.2013.30
Dynamic configuration management of cloud-based applications|http://dx.doi.org/10.1145/2364412.2364441
Modeling and managing variability in process-based service compositions|http://dx.doi.org/10.1007/978-3-642-25535-9_27
On extracting feature models from sets of valid feature combinations|http://dx.doi.org/10.1007/978-3-642-37057-1_5
Configuration of multi product lines by bridging heterogeneous variability modeling approaches|http://dx.doi.org/10.1109/SPLC.2011.22
Cloud service selection based on variability modeling|http://dx.doi.org/10.1007/978-3-642-34321-6_9
Cloud service selection based on variability modeling|http://dx.doi.org/10.1007/978-3-642-34321-6_63
Reverse engineering feature models from programs' feature sets|http://dx.doi.org/10.1109/WCRE.2011.45
Feature model differences|http://dx.doi.org/10.1007/978-3-642-31095-9_41
Variability modelling in the ABS language|http://dx.doi.org/10.1007/978-3-642-25271-6_11
Context variability for context-aware systems|http://dx.doi.org/10.1109/MC.2014.33
Using cross-dependencies during configuration of system families|http://dx.doi.org/10.1007/978-3-319-26844-6_32
Efficient Identification of Core and Dead Features in Variability Models|http://dx.doi.org/10.1109/ACCESS.2015.2498764
Efficient architecture-level configuration of large-scale embedded software systems|http://dx.doi.org/10.1007/978-3-319-24644-4_8
On extracting feature models from product descriptions|http://dx.doi.org/10.1145/2110147.2110153
Feature model extraction from large collections of informal product descriptions|http://dx.doi.org/10.1145/2491411.2491455
Reverse engineering architectural feature models|http://dx.doi.org/10.1007/978-3-642-23798-0_25
Investigating the safe evolution of software product lines|http://dx.doi.org/10.1145/2047862.2047869
Separation of concerns in feature modeling: Support and applications|http://dx.doi.org/10.1145/2162049.2162051
Properties of realistic feature models make combinatorial testing of product lines feasible|http://dx.doi.org/10.1007/978-3-642-24485-8_47
A Comparison of test case prioritization criteria for software product lines|http://dx.doi.org/10.1109/ICST.2014.15
Automated test data generation on the analyses of feature models: A metamorphic testing approach|http://dx.doi.org/10.1109/ICST.2010.20
Stratified analytic hierarchy process: Prioritization and selection of software features|http://dx.doi.org/10.1007/978-3-642-15579-6_21
Reverse engineering feature models with evolutionary algorithms: An exploratory study|http://dx.doi.org/10.1007/978-3-642-33119-0_13
Automated analysis in feature modelling and product configuration|http://dx.doi.org/10.1007/978-3-642-38977-1_11
A domain-specific language for managing feature models|http://dx.doi.org/10.1145/1982185.1982473
Modeling variability from requirements to runtime|http://dx.doi.org/10.1109/ICECCS.2011.15
A feature-oriented approach for Web service customization|http://dx.doi.org/10.1109/ICWS.2010.64
Modeling product lines with kripke structures and modal logic|http://dx.doi.org/10.1007/978-3-319-25150-9_12
Modeling product lines with kripke structures and modal logic|http://dx.doi.org/10.7561/SACS.2016.1.69
SIP: Optimal product selection from feature models using many-objective evolutionary optimization|http://dx.doi.org/10.1145/2897760
A formal modeling and analysis framework for software product line of preemptive real-time systems|http://dx.doi.org/10.1145/2851613.2851977
Analysis of feature models using alloy: A survey|http://dx.doi.org/10.4204/EPTCS.206.5
Conflict detection for edits on extended feature models using symbolic graph transformation|http://dx.doi.org/10.4204/EPTCS.206.3
JPI feature models-Exploring a JPI and FOP symbiosis for software modeling|http://dx.doi.org/10.1109/SCCC.2015.7416583
Context aware reconfiguration in Software Product Lines|http://dx.doi.org/10.1145/2866614.2866620
CardyGAn: Tool support for cardinality-based feature models|http://dx.doi.org/10.1145/2866614.2866619
Feature model augmentation with sentiment analysis for product line planning|http://dx.doi.org/10.1109/IEEM.2015.7385935
FeatureIDE: Scalable product configuration of variable systems|http://dx.doi.org/10.1007/978-3-319-35122-3_27
A feature-oriented mobile software development framework to resolve the device fragmentation phenomenon for application developers in the mobile software ecosystem|http://dx.doi.org/10.1007/978-3-319-38904-2_20
Toward recovering component-based software product line architecture from object-oriented product variants|http://dx.doi.org/10.18293/SEKE2016-066
Carrying ideas from knowledge-based configuration to software product lines|http://dx.doi.org/10.1007/978-3-319-35122-3_4
Common metamodel of component diagram and feature diagram in generative programming|http://dx.doi.org/10.3844/jcssp.2016.517.526
An approach for prioritizing software features based on node centrality in probability network|http://dx.doi.org/10.1007/978-3-319-35122-3_8
Statistical model checking for product lines|http://dx.doi.org/10.1007/978-3-319-47166-2_8
Quantitative and qualitative empirical analysis of three feature modeling tools|http://dx.doi.org/10.1007/978-3-319-56390-9_4
Combinatory synthesis of classes using feature grammars|http://dx.doi.org/10.1007/978-3-319-28934-2_7
Feature location benchmark for software families using eclipse community releases|http://dx.doi.org/10.1007/978-3-319-35122-3_18
Mind the gap! automated anomaly detection for potentially unbounded cardinality-based feature models|http://dx.doi.org/10.1007/978-3-662-49665-7_10
Family-based modeling and analysis for probabilistic systems â€“ featuring PROFEAT|http://dx.doi.org/10.1007/978-3-662-49665-7_17
Research on Methods for Discovering and Selecting Cloud Infrastructure Services Based on Feature Modeling|http://dx.doi.org/10.1155/2016/8194832
Supervisory controller synthesis for product lines using CIF 3|http://dx.doi.org/10.1007/978-3-319-47166-2_59
Faithful modeling of product lines with kripke structures and modal logic|http://dx.doi.org/10.7561/SACS.2016.1.69
Traceability analyses between features and assets in software product lines|http://dx.doi.org/10.3390/e18080269
Cost-related interface for software product lines|http://dx.doi.org/10.1016/j.jlamp.2015.09.009
Evolutionary computation for software product line testing: An overview and open challenges|http://dx.doi.org/10.1007/978-3-319-25964-2_4
Managing trade-offs among architectural tactics using feature models and feature-solution graphs|http://dx.doi.org/10.1109/ColumbianCC.2015.7333406
A visual support for decomposing complex feature models|http://dx.doi.org/10.1109/VISSOFT.2015.7332417
Addressing metamodel revisions in model-based Software Product Lines|http://dx.doi.org/10.1145/2936314.2814214
Addressing metamodel revisions in model-based Software Product Lines|http://dx.doi.org/10.1145/2814204.2814214
SmartyCo: Managing Cyber-Physical systems for smart environments|http://dx.doi.org/10.1007/978-3-319-23727-5_25
Automating Resource Selection and Configuration in Inter-clouds through a Software Product Line Method|http://dx.doi.org/10.1109/CLOUD.2015.101
Web Service Customization Based on Service Feature Model|http://dx.doi.org/10.1109/SCC.2015.91
Dynamically Evolving the Structural Variability of Dynamic Software Product Lines|http://dx.doi.org/10.1109/SEAMS.2015.24
Automatic promotional specialization, generalization and analysis of extended feature models with cardinalities in Alloy|http://dx.doi.org/10.1016/j.jlamp.2014.11.005
Evolution in dynamic software product lines: Challenges and perspectives|http://dx.doi.org/10.1145/2791060.2791101
Using Multiple feature models to specify configuration options for electrical transformers: An experience report|http://dx.doi.org/10.1145/2791060.2791091
SAT-based analysis of large real-world feature models is easy|http://dx.doi.org/10.1145/2791060.2791070
Detecting and explaining conflicts in attributed feature models|http://dx.doi.org/10.4204/EPTCS.182.3
Towards understanding cognitive aspects of configuration knowledge formalization|http://dx.doi.org/10.1145/2701319.2701327
Intelligent techniques for configuration knowledge evolution|http://dx.doi.org/10.1145/2701319.2701320
Automatic generation of SPL structurally valid products: An approach based on progressive composition of partial configurations|http://dx.doi.org/10.1109/IACS.2015.7103196
On the support of automated analysis chains on enterprise models|http://dx.doi.org/10.1007/978-3-319-19237-6_22
Metrics for the evaluation of feature models in an industrial context: A case study at opel|http://dx.doi.org/10.1007/978-3-319-16101-3_3
The semantics of cardinality-based feature models via formal languages|http://dx.doi.org/10.1007/978-3-319-19249-9_28
A science mapping analysis of the literature on software product lines|http://dx.doi.org/10.1007/978-3-319-22689-7_18
Towards automatic decision support for bike-sharing system design|http://dx.doi.org/10.1007/978-3-662-49224-6_22
Handling regulatory goal model families as software product lines|http://dx.doi.org/10.1007/978-3-319-19069-3_12
Optimized feature selection towards functional and non-functional requirements in Software Product Lines|http://dx.doi.org/10.1109/SANER.2015.7081829
Towards more relational feature models|http://dx.doi.org/10.5220/0005553403810386
On the reuse of goal models|http://dx.doi.org/10.1007/978-3-319-24912-4_11
Generating tests for detecting faults in feature models|http://dx.doi.org/10.1109/ICST.2015.7102591
